# slug,family,fr,aliases (semicolon-separated)
madere-verre,glass,madère,
pineau,glass,pineau des charentes,
floc,glass,floc de gascogne,
pommeau,glass,pommeau,
ratafia,glass,ratafia,
vin-jaune,glass,vin jaune,
vin-de-paille,glass,vin de paille,
sauternes,glass,sauternes,
gewurztraminer,glass,gewurztraminer,
riesling,glass,riesling,
chardonnay,glass,chardonnay,
sauvignon,glass,sauvignon,
pinot-noir,glass,pinot noir,
merlot,glass,merlot,
cabernet,glass,cabernet,
syrah,glass,syrah,
cotes-du-rhone,glass,côtes du rhône,
bordeaux-rouge,glass,bordeaux rouge,
bourgogne-blanc,glass,bourgogne blanc,
beaujolais,glass,beaujolais,
champagne-brut,glass,champagne brut,
